Cleaning Index, Network Type, Test Accuracy, Min. Epoch, Min. Validation Loss, Runtime
0, <class '__main__.Shallow_Network'>, 0.7885973453521729, 53, 0.4326116144657135, 706.3681409358978
1, <class '__main__.Shallow_Network'>, 0.7956609129905701, 50, 0.42836999893188477, 705.7874953746796
2, <class '__main__.Shallow_Network'>, 0.8152778148651123, 52, 0.43535539507865906, 647.5866942405701
3, <class '__main__.Shallow_Network'>, 0.802696943283081, 48, 0.43166014552116394, 598.3627648353577
4, <class '__main__.Shallow_Network'>, 0.7932031750679016, 34, 0.4339826703071594, 319.6095814704895
5, <class '__main__.Shallow_Network'>, 0.8005843758583069, 38, 0.4296296238899231, 434.1739921569824
6, <class '__main__.Shallow_Network'>, 0.8065233826637268, 41, 0.4316898584365845, 425.14602613449097
7, <class '__main__.Shallow_Network'>, 0.7902985215187073, 45, 0.44271427392959595, 378.3777642250061
0, <class '__main__.Medium_Network'>, 0.7916246056556702, 25, 0.4362436532974243, 715.5711116790771
1, <class '__main__.Medium_Network'>, 0.7906155586242676, 33, 0.4281795918941498, 716.7588095664978
2, <class '__main__.Medium_Network'>, 0.819444477558136, 35, 0.43944135308265686, 660.508195400238
3, <class '__main__.Medium_Network'>, 0.7991483211517334, 30, 0.43000146746635437, 610.9375886917114
4, <class '__main__.Medium_Network'>, 0.8105567693710327, 30, 0.4289853572845459, 331.81506609916687
5, <class '__main__.Medium_Network'>, 0.7998539209365845, 41, 0.4304700493812561, 446.44221448898315
6, <class '__main__.Medium_Network'>, 0.811712384223938, 40, 0.4296846389770508, 437.99012446403503
7, <class '__main__.Medium_Network'>, 0.7888059616088867, 36, 0.4503258764743805, 390.21123361587524
